Hidden Units,Parameters (x10^3),Train Zero-One Loss (%),Test Zero-One Loss (%),Train Squared Loss,Test Squared Loss
51,40.555,0.0,0.0,0.008054198697209358,0.010620726272463799
57,45.325,3.125,6.25,0.010542393662035465,0.016667302697896957
126,100.18,0.0,0.0,0.0041997404769063,0.00916597992181778
